Country Name,Country Code,Year,GDP per capita(current US$)
Afghanistan,AFG,1975,
Albania,ALB,1975,
Algeria,DZA,1975,
Andorra,AND,1975,
Angola,AGO,1975,
Antigua and Barbuda,ATG,1975,
Argentina,ARG,1975,7925.415771
Armenia,ARM,1975,
Australia,AUS,1975,27117.18807
Austria,AUT,1975,2026.684358
Azerbaijan,AZE,1975,
Bahamas,BHS,1975,
Bahrain,BHR,1975,
Bangladesh,BGD,1975,7013.671598
Barbados,BRB,1975,5264.91772
Belarus,BLR,1975,
Belgium,BEL,1975,110.8848275
Belize,BLZ,1975,6701.377361
Benin,BEN,1975,196.455786
Bhutan,BTN,1975,152.9015296
Bolivia,BOL,1975,249.804254
Bosnia and Herzegovina,BIH,1975,
Botswana,BWA,1975,3880.440472
Brazil,BRA,1975,
Brunei,BRN,1975,
Bulgaria,BGR,1975,
Burkina Faso,BFA,1975,906.4862774
Burundi,BDI,1975,
Cabo Verde,CPV,1975,468.0641161
Cambodia,KHM,1975,1200.558237
Cameroon,CMR,1975,1601.188833
Canada,CAN,1975,
Central African Republic,CAF,1975,237.3507344
Chad,TCD,1975,493.0294727
Chile,CHL,1975,163.6446683
China,CHN,1975,7536.520098
Colombia,COL,1975,
Comoros,COM,1975,10328.10894
Congo,COG,1975,
Costa Rica,CRI,1975,732.0544068
Croatia,HRV,1975,178.6212493
Cuba,CUB,1975,
Cyprus,CYP,1975,386.2364503
Czechia,CZE,1975,
Côte d'Ivoire,CIV,1975,
Democratic Republic of the Congo,COD,1975,561.0980361
Denmark,DNK,1975,
Djibouti,DJI,1975,
Dominica,DMA,1975,936.9931967
Dominican Republic,DOM,1975,
Ecuador,ECU,1975,1374.23964
Egypt,EGY,1975,
El Salvador,SLV,1975,
Equatorial Guinea,GNQ,1975,976.329895
Eritrea,ERI,1975,
Estonia,EST,1975,6259.207445
Eswatini,SWZ,1975,
Ethiopia,ETH,1975,
Fiji,FJI,1975,7988.156133
Finland,FIN,1975,713.1681691
France,FRA,1975,992.3020374
Gabon,GAB,1975,
Gambia,GMB,1975,
Georgia,GEO,1975,
Germany,DEU,1975,
Ghana,GHA,1975,
Greece,GRC,1975,1086.176151
Grenada,GRD,1975,
Guatemala,GTM,1975,
Guinea,GIN,1975,
Guinea-Bissau,GNB,1975,3207.544651
Guyana,GUY,1975,
Haiti,HTI,1975,144.2805376
Honduras,HND,1975,
Hungary,HUN,1975,
Iceland,ISL,1975,6256.102451
India,IND,1975,1188.184242
Indonesia,IDN,1975,6616.767225
Iran,IRN,1975,
Iraq,IRQ,1975,
Ireland,IRL,1975,3258.234242
Israel,ISR,1975,4299.745618
Italy,ITA,1975,
Jamaica,JAM,1975,272.9767152
Japan,JPN,1975,
Jordan,JOR,1975,1311.330514
Kazakhstan,KAZ,1975,
Kenya,KEN,1975,435.2178099
Kiribati,KIR,1975,362.2621783
Kuwait,KWT,1975,3109.37944
Kyrgyzstan,KGZ,1975,
Laos,LAO,1975,
Latvia,LVA,1975,594.8866087
Lebanon,LBN,1975,
Lesotho,LSO,1975,663.7997227
Liberia,LBR,1975,
Libya,LBY,1975,
Liechtenstein,LIE,1975,416.5213072
Lithuania,LTU,1975,
Luxembourg,LUX,1975,
Madagascar,MDG,1975,133.6317921
Malawi,MWI,1975,1083.474733
Malaysia,MYS,1975,
Maldives,MDV,1975,
Mali,MLI,1975,
Malta,MLT,1975,
Marshall Islands,MHL,1975,231.0601206
Mauritania,MRT,1975,
Mauritius,MUS,1975,
Mexico,MEX,1975,161.086694
Micronesia,FSM,1975,
Moldova,MDA,1975,2973.400123
Monaco,MCO,1975,
Mongolia,MNG,1975,1165.881639
Montenegro,MNE,1975,6679.784291
Morocco,MAR,1975,4672.002134
Mozambique,MOZ,1975,4116.459649
Myanmar,MMR,1975,1416.775468
Namibia,NAM,1975,717.7640973
Nauru,NRU,1975,4775.899536
Nepal,NPL,1975,
Netherlands,NLD,1975,241.2244261
New Zealand,NZL,1975,
Nicaragua,NIC,1975,113.8257892
Niger,NER,1975,730.4417926
Nigeria,NGA,1975,
North Korea,PRK,1975,
North Macedonia,MKD,1975,10881.72164
Norway,NOR,1975,
Oman,OMN,1975,
Pakistan,PAK,1975,
Palau,PLW,1975,345.6489356
Palestine,PSE,1975,5720.626911
Panama,PAN,1975,
Papua New Guinea,PNG,1975,
Paraguay,PRY,1975,
Peru,PER,1975,
Philippines,PHL,1975,10332.51287
Poland,POL,1975,279.8215826
Portugal,PRT,1975,
Qatar,QAT,1975,
Romania,ROU,1975,123.2313752
Russia,RUS,1975,
Rwanda,RWA,1975,
Saint Kitts and Nevis,KNA,1975,8701.304731
Saint Lucia,LCA,1975,
Saint Vincent and the Grenadines,VCT,1975,
Samoa,WSM,1975,
San Marino,SMR,1975,521.8389282
Sao Tome and Principe,STP,1975,27920.7436
Saudi Arabia,SAU,1975,
Senegal,SEN,1975,294.9929058
Serbia,SRB,1975,171.4251219
Seychelles,SYC,1975,
Sierra Leone,SLE,1975,1491.970486
Singapore,SGP,1975,638.1930489
Slovakia,SVK,1975,
Slovenia,SVN,1975,
Solomon Islands,SLB,1975,121.4975727
Somalia,SOM,1975,1560.105191
South Africa,ZAF,1975,35.16329157
South Korea,KOR,1975,
South Sudan,SSD,1975,
Spain,ESP,1975,
Sri Lanka,LKA,1975,
Sudan,SDN,1975,
Suriname,SUR,1975,550.6625832
Sweden,SWE,1975,754.8332815
Switzerland,CHE,1975,
Syria,SYR,1975,810.5709997
Tajikistan,TJK,1975,
Tanzania,TZA,1975,
Thailand,THA,1975,
Timor-Leste,TLS,1975,197.232873
Togo,TGO,1975,438.0788139
Tonga,TON,1975,561.4596954
Trinidad and Tobago,TTO,1975,7346.304748
Tunisia,TUN,1975,8204.451512
Turkmenistan,TKM,1975,113.6056452
Tuvalu,TUV,1975,5740.199787
Türkiye,TUR,1975,4171.76974
Uganda,UGA,1975,
Ukraine,UKR,1975,2691.996535
United Arab Emirates,ARE,1975,
United Kingdom,GBR,1975,161.6817749
United States,USA,1975,1405.748997
Uruguay,URY,1975,1104.16133
Uzbekistan,UZB,1975,400.6388831
Vanuatu,VUT,1975,1463.541051
Vatican City,VAT,1975,481.950394
Venezuela,VEN,1975,
Vietnam,VNM,1975,
Yemen,YEM,1975,
Zambia,ZMB,1975,
Zimbabwe,ZWE,1975,2127.637507
