Country Name,Country Code,Year,Value
Afghanistan,AFG,2004,52.4
Albania,ALB,2004,28.5
Algeria,DZA,2004,19.0
Andorra,AND,2004,
Angola,AGO,2004,37.8
Antigua and Barbuda,ATG,2004,
Argentina,ARG,2004,8.3
Armenia,ARM,2004,20.0
Australia,AUS,2004,1.6
Austria,AUT,2004,
Azerbaijan,AZE,2004,25.4
Bahamas,BHS,2004,
Bahrain,BHR,2004,9.1
Bangladesh,BGD,2004,50.0
Barbados,BRB,2004,8.2
Belarus,BLR,2004,4.6
Belgium,BEL,2004,3.8
Belize,BLZ,2004,23.4
Benin,BEN,2004,35.3
Bhutan,BTN,2004,41.2
Bolivia,BOL,2004,30.3
Bosnia and Herzegovina,BIH,2004,11.2
Botswana,BWA,2004,29.6
Brazil,BRA,2004,7.7
Brunei,BRN,2004,21.3
Bulgaria,BGR,2004,8.9
Burkina Faso,BFA,2004,40.6
Burundi,BDI,2004,61.0
Cabo Verde,CPV,2004,12.8
Cambodia,KHM,2004,46.1
Cameroon,CMR,2004,37.3
Canada,CAN,2004,
Central African Republic,CAF,2004,43.4
Chad,TCD,2004,42.0
Chile,CHL,2004,2.3
China,CHN,2004,14.6
Colombia,COL,2004,16.2
Comoros,COM,2004,42.0
Congo,COG,2004,31.8
Costa Rica,CRI,2004,6.5
Cote d'Ivoire,CIV,2004,32.4
Croatia,HRV,2004,
Cuba,CUB,2004,7.6
Cyprus,CYP,2004,
Czechia,CZE,2004,2.7
Democratic Republic of the Congo,COD,2004,45.9
Denmark,DNK,2004,
Djibouti,DJI,2004,32.3
Dominica,DMA,2004,
Dominican Republic,DOM,2004,9.0
Ecuador,ECU,2004,28.0
Egypt,EGY,2004,25.4
El Salvador,SLV,2004,24.6
Equatorial Guinea,GNQ,2004,34.2
Eritrea,ERI,2004,45.7
Estonia,EST,2004,1.7
Eswatini,SWZ,2004,34.6
Ethiopia,ETH,2004,52.8
Fiji,FJI,2004,6.4
Finland,FIN,2004,2.0
France,FRA,2004,
Gabon,GAB,2004,24.0
Gambia,GMB,2004,26.7
Georgia,GEO,2004,14.8
Germany,DEU,2004,1.2
Ghana,GHA,2004,30.4
Greece,GRC,2004,2.0
Grenada,GRD,2004,
Guatemala,GTM,2004,52.6
Guinea,GIN,2004,34.8
Guinea-Bissau,GNB,2004,31.5
Guyana,GUY,2004,16.4
Haiti,HTI,2004,27.7
Honduras,HND,2004,32.2
Hungary,HUN,2004,
Iceland,ISL,2004,
India,IND,2004,48.2
Indonesia,IDN,2004,39.6
Iran,IRN,2004,9.8
Iraq,IRQ,2004,27.3
Ireland,IRL,2004,3.4
Israel,ISR,2004,
Italy,ITA,2004,
Jamaica,JAM,2004,6.4
Japan,JPN,2004,6.5
Jordan,JOR,2004,9.8
Kazakhstan,KAZ,2004,15.7
Kenya,KEN,2004,37.8
Kiribati,KIR,2004,19.0
Kuwait,KWT,2004,4.1
Kyrgyzstan,KGZ,2004,24.1
Laos,LAO,2004,47.8
Latvia,LVA,2004,2.9
Lebanon,LBN,2004,16.1
Lesotho,LSO,2004,42.0
Liberia,LBR,2004,41.9
Libya,LBY,2004,25.8
Liechtenstein,LIE,2004,
Lithuania,LTU,2004,2.5
Luxembourg,LUX,2004,
Madagascar,MDG,2004,54.8
Malawi,MWI,2004,54.4
Malaysia,MYS,2004,18.3
Maldives,MDV,2004,28.5
Mali,MLI,2004,37.4
Malta,MLT,2004,6.1
Marshall Islands,MHL,2004,39.8
Mauritania,MRT,2004,33.7
Mauritius,MUS,2004,10.7
Mexico,MEX,2004,17.6
Micronesia,FSM,2004,
Moldova,MDA,2004,10.8
Monaco,MCO,2004,
Mongolia,MNG,2004,24.5
Montenegro,MNE,2004,8.1
Morocco,MAR,2004,21.4
Mozambique,MOZ,2004,46.9
Myanmar,MMR,2004,40.7
Namibia,NAM,2004,29.6
Nauru,NRU,2004,24.5
Nepal,NPL,2004,51.4
Netherlands,NLD,2004,1.4
New Zealand,NZL,2004,
Nicaragua,NIC,2004,
Niger,NER,2004,50.4
Nigeria,NGA,2004,41.0
North Korea,PRK,2004,44.2
North Macedonia,MKD,2004,8.6
Norway,NOR,2004,
Oman,OMN,2004,12.6
Pakistan,PAK,2004,43.4
Palau,PLW,2004,
Palestine,PSE,2004,11.1
Panama,PAN,2004,20.1
Papua New Guinea,PNG,2004,42.0
Paraguay,PRY,2004,17.3
Peru,PER,2004,29.8
Philippines,PHL,2004,34.1
Poland,POL,2004,3.0
Portugal,PRT,2004,4.7
Qatar,QAT,2004,8.2
Romania,ROU,2004,12.4
Russia,RUS,2004,
Rwanda,RWA,2004,48.5
Saint Kitts and Nevis,KNA,2004,
Saint Lucia,LCA,2004,2.8
Saint Vincent and the Grenadines,VCT,2004,
Samoa,WSM,2004,5.0
San Marino,SMR,2004,
Sao Tome and Principe,STP,2004,27.5
Saudi Arabia,SAU,2004,11.5
Senegal,SEN,2004,22.0
Serbia,SRB,2004,8.5
Seychelles,SYC,2004,9.4
Sierra Leone,SLE,2004,38.4
Singapore,SGP,2004,4.2
Slovakia,SVK,2004,
Slovenia,SVN,2004,
Solomon Islands,SLB,2004,32.5
Somalia,SOM,2004,33.6
South Africa,ZAF,2004,26.3
South Korea,KOR,2004,2.4
South Sudan,SSD,2004,36.7
Spain,ESP,2004,
Sri Lanka,LKA,2004,19.4
Sudan,SDN,2004,38.0
Suriname,SUR,2004,11.6
Sweden,SWE,2004,
Switzerland,CHE,2004,
Syria,SYR,2004,29.7
Tajikistan,TJK,2004,38.0
Tanzania,TZA,2004,45.1
Thailand,THA,2004,16.2
Timor-Leste,TLS,2004,56.5
Togo,TGO,2004,30.1
Tonga,TON,2004,11.8
Trinidad and Tobago,TTO,2004,6.5
Tunisia,TUN,2004,11.3
Turkey,TUR,2004,16.1
Turkmenistan,TKM,2004,22.6
Tuvalu,TUV,2004,10.9
Uganda,UGA,2004,41.9
Ukraine,UKR,2004,21.5
United Arab Emirates,ARE,2004,
United Kingdom,GBR,2004,3.3
United States,USA,2004,2.7
Uruguay,URY,2004,13.9
Uzbekistan,UZB,2004,22.7
Vanuatu,VUT,2004,25.1
Venezuela,VEN,2004,17.3
Vietnam,VNM,2004,34.8
Yemen,YEM,2004,54.8
Zambia,ZMB,2004,50.5
Zimbabwe,ZWE,2004,34.1
