Country Name,Country Code,Year,GDP per capita(current US$)
Afghanistan,AFG,2008,381.733238
Albania,ALB,2008,4498.504868
Algeria,DZA,2008,5180.918815
Andorra,AND,2008,49132.49258
Angola,AGO,2008,4578.155265
Antigua and Barbuda,ATG,2008,18786.67431
Argentina,ARG,2008,8944.110266
Armenia,ARM,2008,3777.668593
Australia,AUS,2008,49811.20672
Austria,AUT,2008,51581.39824
Azerbaijan,AZE,2008,5574.468104
Bahamas,BHS,2008,29392.38244
Bahrain,BHR,2008,23299.49928
Bangladesh,BGD,2008,613.062041
Barbados,BRB,2008,17565.693
Belarus,BLR,2008,6376.175692
Belgium,BEL,2008,48303.39796
Belize,BLZ,2008,5711.814589
Benin,BEN,2008,1060.602545
Bhutan,BTN,2008,1919.597749
Bolivia,BOL,2008,1692.672485
Bosnia and Herzegovina,BIH,2008,4841.693119
Botswana,BWA,2008,5503.073953
Brazil,BRA,2008,8908.333385
Brunei,BRN,2008,42156.56858
Bulgaria,BGR,2008,7271.303389
Burkina Faso,BFA,2008,619.4375333
Burundi,BDI,2008,189.5020746
Cabo Verde,CPV,2008,3908.648858
Cambodia,KHM,2008,866.2839998
Cameroon,CMR,2008,1492.142698
Canada,CAN,2008,46710.25269
Central African Republic,CAF,2008,437.2482747
Chad,TCD,2008,1166.368835
Chile,CHL,2008,10683.21888
China,CHN,2008,3523.443021
Colombia,COL,2008,5541.836297
Comoros,COM,2008,1455.027686
Congo,COG,2008,2832.091778
Costa Rica,CRI,2008,6937.242616
Cote d'Ivoire,CIV,2008,1583.970667
Croatia,HRV,2008,15888.06069
Cuba,CUB,2008,4986.124365
Cyprus,CYP,2008,35397.29688
Czechia,CZE,2008,22774.70451
Democratic Republic of the Congo,COD,2008,352.9003634
Denmark,DNK,2008,64616.66576
Djibouti,DJI,2008,1119.152333
Dominica,DMA,2008,6971.326338
Dominican Republic,DOM,2008,5023.585134
Ecuador,ECU,2008,4194.757507
Egypt,EGY,2008,1896.215943
El Salvador,SLV,2008,2983.248296
Equatorial Guinea,GNQ,2008,18210.5553
Eritrea,ERI,2008,490.066956
Estonia,EST,2008,18205.90641
Eswatini,SWZ,2008,2946.860661
Ethiopia,ETH,2008,316.4104751
Fiji,FJI,2008,3899.922315
Finland,FIN,2008,53769.47262
France,FRA,2008,45464.81814
Gabon,GAB,2008,9688.645197
Gambia,GMB,2008,859.1276714
Georgia,GEO,2008,3324.753721
Germany,DEU,2008,46379.1648
Ghana,GHA,2008,1182.657613
Greece,GRC,2008,31695.83311
Grenada,GRD,2008,7448.204056
Guatemala,GTM,2008,2763.059882
Guinea,GIN,2008,703.5328258
Guinea-Bissau,GNB,2008,640.2103311
Guyana,GUY,2008,4008.962867
Haiti,HTI,2008,1094.660584
Honduras,HND,2008,1732.490627
Hungary,HUN,2008,15762.63225
Iceland,ISL,2008,57489.33998
India,IND,2008,992.5195849
Indonesia,IDN,2008,2124.554839
Iran,IRN,2008,5377.411507
Iraq,IRQ,2008,4542.96609
Ireland,IRL,2008,61353.10656
Israel,ISR,2008,30269.21777
Italy,ITA,2008,40828.57956
Jamaica,JAM,2008,5029.800953
Japan,JPN,2008,39876.30397
Jordan,JOR,2008,3241.652414
Kazakhstan,KAZ,2008,8123.547059
Kenya,KEN,2008,915.5443547
Kiribati,KIR,2008,1410.622469
Kuwait,KWT,2008,55585.18893
Kyrgyzstan,KGZ,2008,966.3885694
Laos,LAO,2008,885.7473761
