Country Name,Country Code,Year,Value
Afghanistan,AFG,2009,
Albania,ALB,2009,23.2
Algeria,DZA,2009,
Andorra,AND,2009,
Angola,AGO,2009,
Antigua and Barbuda,ATG,2009,
Argentina,ARG,2009,
Armenia,ARM,2009,
Australia,AUS,2009,
Austria,AUT,2009,
Azerbaijan,AZE,2009,
Bahamas,BHS,2009,
Bahrain,BHR,2009,
Bangladesh,BGD,2009,
Barbados,BRB,2009,
Belarus,BLR,2009,
Belgium,BEL,2009,
Belize,BLZ,2009,
Benin,BEN,2009,
Bhutan,BTN,2009,
Bolivia,BOL,2009,
Bosnia and Herzegovina,BIH,2009,
Botswana,BWA,2009,
Brazil,BRA,2009,
Brunei,BRN,2009,8.3
Bulgaria,BGR,2009,
Burkina Faso,BFA,2009,
Burundi,BDI,2009,
Cabo Verde,CPV,2009,
Cambodia,KHM,2009,
Cameroon,CMR,2009,
Canada,CAN,2009,
Central African Republic,CAF,2009,
Chad,TCD,2009,
Chile,CHL,2009,
China,CHN,2009,5.7
Colombia,COL,2009,
Comoros,COM,2009,
Congo,COG,2009,
Costa Rica,CRI,2009,
Croatia,HRV,2009,
Cuba,CUB,2009,
Cyprus,CYP,2009,
Czechia,CZE,2009,
Côte d'Ivoire,CIV,2009,
Democratic Republic of the Congo,COD,2009,
Denmark,DNK,2009,
Djibouti,DJI,2009,
Dominica,DMA,2009,
Dominican Republic,DOM,2009,
Ecuador,ECU,2009,
Egypt,EGY,2009,
El Salvador,SLV,2009,
Equatorial Guinea,GNQ,2009,
Eritrea,ERI,2009,
Estonia,EST,2009,
Eswatini,SWZ,2009,
Ethiopia,ETH,2009,
Fiji,FJI,2009,
Finland,FIN,2009,
France,FRA,2009,
Gabon,GAB,2009,
Gambia,GMB,2009,
Georgia,GEO,2009,19.8
Germany,DEU,2009,
Ghana,GHA,2009,
Greece,GRC,2009,
Grenada,GRD,2009,
Guatemala,GTM,2009,4.9
Guinea,GIN,2009,
Guinea-Bissau,GNB,2009,
Guyana,GUY,2009,6.7
Haiti,HTI,2009,
Honduras,HND,2009,
Hungary,HUN,2009,
Iceland,ISL,2009,
India,IND,2009,
Indonesia,IDN,2009,
Iran,IRN,2009,
Iraq,IRQ,2009,
Ireland,IRL,2009,
Israel,ISR,2009,
Italy,ITA,2009,
Jamaica,JAM,2009,
Japan,JPN,2009,
Jordan,JOR,2009,6.6
Kazakhstan,KAZ,2009,
Kenya,KEN,2009,
Kiribati,KIR,2009,
Kuwait,KWT,2009,9.0
Kyrgyzstan,KGZ,2009,4.4
Laos,LAO,2009,
Latvia,LVA,2009,
Lebanon,LBN,2009,
Lesotho,LSO,2009,7.3
Liberia,LBR,2009,
Libya,LBY,2009,
Liechtenstein,LIE,2009,
Lithuania,LTU,2009,
Luxembourg,LUX,2009,
Madagascar,MDG,2009,
Malawi,MWI,2009,4.9
Malaysia,MYS,2009,
Maldives,MDV,2009,6.2
Mali,MLI,2009,
Malta,MLT,2009,
Marshall Islands,MHL,2009,
Mauritania,MRT,2009,
Mauritius,MUS,2009,
Mexico,MEX,2009,
Micronesia,FSM,2009,
Moldova,MDA,2009,
Monaco,MCO,2009,
Mongolia,MNG,2009,
Montenegro,MNE,2009,
Morocco,MAR,2009,
Mozambique,MOZ,2009,
Myanmar,MMR,2009,2.6
Namibia,NAM,2009,
Nauru,NRU,2009,
Nepal,NPL,2009,
Netherlands,NLD,2009,3.8
New Zealand,NZL,2009,
Nicaragua,NIC,2009,
Niger,NER,2009,0.2
Nigeria,NGA,2009,
North Korea,PRK,2009,0.0
North Macedonia,MKD,2009,
Norway,NOR,2009,
Oman,OMN,2009,1.7
Pakistan,PAK,2009,
Palau,PLW,2009,
Palestine,PSE,2009,
Panama,PAN,2009,
Papua New Guinea,PNG,2009,
Paraguay,PRY,2009,
Peru,PER,2009,10.3
Philippines,PHL,2009,
Poland,POL,2009,
Portugal,PRT,2009,
Qatar,QAT,2009,
Romania,ROU,2009,
Russia,RUS,2009,
Rwanda,RWA,2009,
Saint Kitts and Nevis,KNA,2009,
Saint Lucia,LCA,2009,
Saint Vincent and the Grenadines,VCT,2009,
Samoa,WSM,2009,
San Marino,SMR,2009,
Sao Tome and Principe,STP,2009,
Saudi Arabia,SAU,2009,
Senegal,SEN,2009,
Serbia,SRB,2009,
Seychelles,SYC,2009,
Sierra Leone,SLE,2009,
Singapore,SGP,2009,
Slovakia,SVK,2009,
Slovenia,SVN,2009,
Solomon Islands,SLB,2009,
Somalia,SOM,2009,3.0
South Africa,ZAF,2009,
South Korea,KOR,2009,
South Sudan,SSD,2009,
Spain,ESP,2009,
Sri Lanka,LKA,2009,0.8
Sudan,SDN,2009,
Suriname,SUR,2009,
Sweden,SWE,2009,
Switzerland,CHE,2009,
Syria,SYR,2009,
Tajikistan,TJK,2009,4.2
Tanzania,TZA,2009,4.7
Thailand,THA,2009,
Timor-Leste,TLS,2009,5.8
Togo,TGO,2009,1.1
Tonga,TON,2009,
Trinidad and Tobago,TTO,2009,
Tunisia,TUN,2009,
Turkmenistan,TKM,2009,
Tuvalu,TUV,2009,
Türkiye,TUR,2009,
Uganda,UGA,2009,3.2
Ukraine,UKR,2009,
United Arab Emirates,ARE,2009,
United Kingdom,GBR,2009,6.6
United States,USA,2009,
Uruguay,URY,2009,
Uzbekistan,UZB,2009,
Vanuatu,VUT,2009,
Vatican City,VAT,2009,
Venezuela,VEN,2009,6.4
Vietnam,VNM,2009,5.6
Yemen,YEM,2009,
Zambia,ZMB,2009,
Zimbabwe,ZWE,2009,3.5
