Country,Country Code,Year,Prevalence of stunting
Afghanistan,AFG,2008,
Albania,ALB,2008,
Algeria,DZA,2008,
Andorra,AND,2008,
Angola,AGO,2008,
Antigua and Barbuda,ATG,2008,
Argentina,ARG,2008,
Armenia,ARM,2008,
Australia,AUS,2008,
Austria,AUT,2008,
Azerbaijan,AZE,2008,
Bahamas,BHS,2008,
Bahrain,BHR,2008,
Bangladesh,BGD,2008,
Barbados,BRB,2008,
Belarus,BLR,2008,
Belgium,BEL,2008,
Belize,BLZ,2008,
Benin,BEN,2008,37.4
Bhutan,BTN,2008,34.9
Bolivia,BOL,2008,27.1
Bosnia and Herzegovina,BIH,2008,
Botswana,BWA,2008,
Brazil,BRA,2008,
Brunei,BRN,2008,
Bulgaria,BGR,2008,
Burkina Faso,BFA,2008,
Burundi,BDI,2008,
Cabo Verde,CPV,2008,
Cambodia,KHM,2008,39.5
Cameroon,CMR,2008,
Canada,CAN,2008,
Central African Republic,CAF,2008,
Chad,TCD,2008,
Chile,CHL,2008,2.0
China,CHN,2008,9.8
Colombia,COL,2008,
Comoros,COM,2008,
Congo,COG,2008,
Costa Rica,CRI,2008,5.6
Croatia,HRV,2008,
Cuba,CUB,2008,
Cyprus,CYP,2008,
Czechia,CZE,2008,
Côte d'Ivoire,CIV,2008,
Democratic Republic of the Congo,COD,2008,
Denmark,DNK,2008,
Djibouti,DJI,2008,
Dominica,DMA,2008,
Dominican Republic,DOM,2008,
Ecuador,ECU,2008,
Egypt,EGY,2008,30.7
El Salvador,SLV,2008,20.8
Equatorial Guinea,GNQ,2008,
Eritrea,ERI,2008,
Estonia,EST,2008,
Eswatini,SWZ,2008,40.4
Ethiopia,ETH,2008,
Fiji,FJI,2008,
Finland,FIN,2008,
France,FRA,2008,
Gabon,GAB,2008,
Gambia,GMB,2008,
Georgia,GEO,2008,
Germany,DEU,2008,
Ghana,GHA,2008,28.4
Greece,GRC,2008,
Grenada,GRD,2008,
Guatemala,GTM,2008,
Guinea,GIN,2008,
Guinea-Bissau,GNB,2008,27.6
Guyana,GUY,2008,
Haiti,HTI,2008,
Honduras,HND,2008,
Hungary,HUN,2008,
Iceland,ISL,2008,
India,IND,2008,
Indonesia,IDN,2008,40.1
Iran,IRN,2008,
Iraq,IRQ,2008,
Ireland,IRL,2008,
Israel,ISR,2008,
Italy,ITA,2008,
Jamaica,JAM,2008,6.9
Japan,JPN,2008,
Jordan,JOR,2008,
Kazakhstan,KAZ,2008,
Kenya,KEN,2008,35.5
Kiribati,KIR,2008,
Kuwait,KWT,2008,5.1
Kyrgyzstan,KGZ,2008,
Laos,LAO,2008,
Latvia,LVA,2008,
Lebanon,LBN,2008,
Lesotho,LSO,2008,
Liberia,LBR,2008,36.1
Libya,LBY,2008,
Liechtenstein,LIE,2008,
Lithuania,LTU,2008,
Luxembourg,LUX,2008,
Madagascar,MDG,2008,
Malawi,MWI,2008,
Malaysia,MYS,2008,
Maldives,MDV,2008,
Mali,MLI,2008,
Malta,MLT,2008,
Marshall Islands,MHL,2008,
Mauritania,MRT,2008,23.6
Mauritius,MUS,2008,
Mexico,MEX,2008,
Micronesia,FSM,2008,
Moldova,MDA,2008,
Monaco,MCO,2008,
Mongolia,MNG,2008,
Montenegro,MNE,2008,
Morocco,MAR,2008,
Mozambique,MOZ,2008,43.5
Myanmar,MMR,2008,
Namibia,NAM,2008,
Nauru,NRU,2008,
Nepal,NPL,2008,
Netherlands,NLD,2008,
New Zealand,NZL,2008,
Nicaragua,NIC,2008,
Niger,NER,2008,43.8
Nigeria,NGA,2008,
North Korea,PRK,2008,
North Macedonia,MKD,2008,
Norway,NOR,2008,
Oman,OMN,2008,
Pakistan,PAK,2008,
Palau,PLW,2008,
Palestine,,2008,
Panama,PAN,2008,19.0
Papua New Guinea,PNG,2008,
Paraguay,PRY,2008,
Peru,PER,2008,
Philippines,PHL,2008,32.0
Poland,POL,2008,
Portugal,PRT,2008,
Qatar,QAT,2008,
Romania,ROU,2008,
Russia,RUS,2008,
Rwanda,RWA,2008,
Saint Kitts and Nevis,KNA,2008,
Saint Lucia,LCA,2008,
Saint Vincent and the Grenadines,VCT,2008,
Samoa,WSM,2008,
San Marino,SMR,2008,
Sao Tome and Principe,STP,2008,
Saudi Arabia,SAU,2008,
Senegal,SEN,2008,
Serbia,SRB,2008,
Seychelles,SYC,2008,
Sierra Leone,SLE,2008,
Singapore,SGP,2008,
Slovakia,SVK,2008,
Slovenia,SVN,2008,
Solomon Islands,SLB,2008,
Somalia,,2008,
South Africa,ZAF,2008,25.0
South Korea,KOR,2008,
South Sudan,SSD,2008,
Spain,ESP,2008,
Sri Lanka,LKA,2008,
Sudan,SDN,2008,
Suriname,SUR,2008,
Sweden,SWE,2008,
Switzerland,CHE,2008,
Syria,SYR,2008,
Tajikistan,TJK,2008,
Tanzania,TZA,2008,
Thailand,THA,2008,
Timor-Leste,TLS,2008,
Togo,TGO,2008,26.9
Tonga,TON,2008,
Trinidad and Tobago,TTO,2008,
Tunisia,TUN,2008,
Turkmenistan,TKM,2008,
Tuvalu,TUV,2008,
Türkiye,TUR,2008,12.5
Uganda,UGA,2008,
Ukraine,UKR,2008,
United Arab Emirates,ARE,2008,
United Kingdom,GBR,2008,2.1
United States,USA,2008,2.3
Uruguay,URY,2008,
Uzbekistan,UZB,2008,
Vanuatu,VUT,2008,25.7
Vatican City,,2008,
Venezuela,VEN,2008,14.6
Vietnam,VNM,2008,30.8
Yemen,YEM,2008,
Zambia,ZMB,2008,
Zimbabwe,ZWE,2008,
