Country Name,Country Code,Year,Poverty_Rate(daily income < 3USD)
Afghanistan,AFG,2005,
Albania,ALB,2005,2.7
Algeria,DZA,2005,
Andorra,AND,2005,
Angola,AGO,2005,
Antigua and Barbuda,ATG,2005,
Argentina,ARG,2005,4.4
Armenia,ARM,2005,6.1
Australia,AUS,2005,
Austria,AUT,2005,0.2
Azerbaijan,AZE,2005,0
Bahamas,BHS,2005,
Bahrain,BHR,2005,
Bangladesh,BGD,2005,32.3
Barbados,BRB,2005,
Belarus,BLR,2005,2.4
Belgium,BEL,2005,0.3
Belize,BLZ,2005,
Benin,BEN,2005,
Bhutan,BTN,2005,
Bolivia,BOL,2005,18.7
Bosnia and Herzegovina,BIH,2005,
Botswana,BWA,2005,
Brazil,BRA,2005,13.7
Brunei,BRN,2005,
Bulgaria,BGR,2005,
Burkina Faso,BFA,2005,
Burundi,BDI,2005,
Cabo Verde,CPV,2005,
Cambodia,KHM,2005,
Cameroon,CMR,2005,
Canada,CAN,2005,0.2
Central African Republic,CAF,2005,
Chad,TCD,2005,
Chile,CHL,2005,
China,CHN,2005,33.1
Colombia,COL,2005,16.8
Comoros,COM,2005,
Congo,COG,2005,54.5
Costa Rica,CRI,2005,5
Croatia,HRV,2005,
Cuba,CUB,2005,
Cyprus,CYP,2005,0.1
Czechia,CZE,2005,0
Côte d'Ivoire,CIV,2005,
Democratic Republic of the Congo,COD,2005,
Denmark,DNK,2005,0.3
Djibouti,DJI,2005,
Dominica,DMA,2005,
Dominican Republic,DOM,2005,9.9
Ecuador,ECU,2005,15.4
Egypt,EGY,2005,
El Salvador,SLV,2005,16.4
Equatorial Guinea,GNQ,2005,
Eritrea,ERI,2005,
Estonia,EST,2005,1.1
Eswatini,SWZ,2005,
Ethiopia,ETH,2005,
Fiji,FJI,2005,
Finland,FIN,2005,0.1
France,FRA,2005,0.1
Gabon,GAB,2005,9.2
Gambia,GMB,2005,
Georgia,GEO,2005,22.3
Germany,DEU,2005,0
Ghana,GHA,2005,60.9
Greece,GRC,2005,0.4
Grenada,GRD,2005,
Guatemala,GTM,2005,
Guinea,GIN,2005,
Guinea-Bissau,GNB,2005,
Guyana,GUY,2005,
Haiti,HTI,2005,
Honduras,HND,2005,31.3
Hungary,HUN,2005,1
Iceland,ISL,2005,0
India,IND,2005,
Indonesia,IDN,2005,41.1
Iran,IRN,2005,4.5
Iraq,IRQ,2005,
Ireland,IRL,2005,0.1
Israel,ISR,2005,1
Italy,ITA,2005,0.8
Jamaica,JAM,2005,
Japan,JPN,2005,
Jordan,JOR,2005,
Kazakhstan,KAZ,2005,14.6
Kenya,KEN,2005,44.6
Kiribati,KIR,2005,
Kuwait,KWT,2005,
Kyrgyzstan,KGZ,2005,36.6
Laos,LAO,2005,
Latvia,LVA,2005,3.1
Lebanon,LBN,2005,
Lesotho,LSO,2005,
Liberia,LBR,2005,
Libya,LBY,2005,
Liechtenstein,LIE,2005,
Lithuania,LTU,2005,2.7
Luxembourg,LUX,2005,0
Madagascar,MDG,2005,55.3
Malawi,MWI,2005,
Malaysia,MYS,2005,
Maldives,MDV,2005,
Mali,MLI,2005,
Malta,MLT,2005,
Marshall Islands,MHL,2005,
Mauritania,MRT,2005,
Mauritius,MUS,2005,
Mexico,MEX,2005,11.7
Micronesia,FSM,2005,15.8
Moldova,MDA,2005,16.6
Monaco,MCO,2005,
Mongolia,MNG,2005,
Montenegro,MNE,2005,0.4
Morocco,MAR,2005,
Mozambique,MOZ,2005,
Myanmar,MMR,2005,
Namibia,NAM,2005,
Nauru,NRU,2005,
Nepal,NPL,2005,
Netherlands,NLD,2005,0.1
New Zealand,NZL,2005,
Nicaragua,NIC,2005,16.5
Niger,NER,2005,83.8
Nigeria,NGA,2005,
North Korea,PRK,2005,
North Macedonia,MKD,2005,3.1
Norway,NOR,2005,0.2
Oman,OMN,2005,
Pakistan,PAK,2005,40.8
Palau,PLW,2005,
Palestine,PSE,2005,1.3
Panama,PAN,2005,14.5
Papua New Guinea,PNG,2005,
Paraguay,PRY,2005,10.1
Peru,PER,2005,25.4
Philippines,PHL,2005,
Poland,POL,2005,1.4
Portugal,PRT,2005,0.7
Qatar,QAT,2005,
Romania,ROU,2005,4.2
Russia,RUS,2005,1.4
Rwanda,RWA,2005,74.2
Saint Kitts and Nevis,KNA,2005,
Saint Lucia,LCA,2005,
Saint Vincent and the Grenadines,VCT,2005,
Samoa,WSM,2005,
San Marino,SMR,2005,
Sao Tome and Principe,STP,2005,
Saudi Arabia,SAU,2005,
Senegal,SEN,2005,53.6
Serbia,SRB,2005,1.6
Seychelles,SYC,2005,
Sierra Leone,SLE,2005,
Singapore,SGP,2005,
Slovakia,SVK,2005,0.3
Slovenia,SVN,2005,0.1
Solomon Islands,SLB,2005,62.2
Somalia,SOM,2005,
South Africa,ZAF,2005,42.1
South Korea,KOR,2005,
South Sudan,SSD,2005,
Spain,ESP,2005,0.9
Sri Lanka,LKA,2005,
Sudan,SDN,2005,
Suriname,SUR,2005,
Sweden,SWE,2005,1.1
Switzerland,CHE,2005,
Syria,SYR,2005,
Tajikistan,TJK,2005,
Tanzania,TZA,2005,
Thailand,THA,2005,
Timor-Leste,TLS,2005,
Togo,TGO,2005,
Tonga,TON,2005,
Trinidad and Tobago,TTO,2005,
Tunisia,TUN,2005,5.9
Turkmenistan,TKM,2005,
Tuvalu,TUV,2005,
Türkiye,TUR,2005,6.5
Uganda,UGA,2005,72.4
Ukraine,UKR,2005,1.1
United Arab Emirates,ARE,2005,
United Kingdom,GBR,2005,0.2
United States,USA,2005,1
Uruguay,URY,2005,1.5
Uzbekistan,UZB,2005,
Vanuatu,VUT,2005,
Vatican City,VAT,2005,
Venezuela,VEN,2005,18.1
Vietnam,VNM,2005,
Yemen,YEM,2005,21.4
Zambia,ZMB,2005,
Zimbabwe,ZWE,2005,
